model,accuracy,roc_auc
XGBoost,0.6962025316455697,0.5994194484760522
Random Forest,0.6835443037974683,0.6052249637155298
Decision Tree,0.6835443037974683,0.6215529753265602
Stacking Ensemble,0.6708860759493671,0.5761973875181422
Logistic Regression,0.620253164556962,0.6364296081277214
KNN,0.620253164556962,0.5439042089985486
ANN,0.620253164556962,0.5616835994194485
